Samples_ID,Other__eukaryota,PPE,Depth,NO2NO3,PO4,NO2,O2,Salinity,Legend
gos39,95.7112223,4.288777698,800,0,0.02,0.01,188.4,39.7,PPE
gos41,97.6016684,2.398331595,450,0,0.12,0,191.7,34.6,PPE
gos43,74.81360987,25.18639013,5,2.16,0.16,0.31,243.1,36.3,PPE
gos45,55.32554257,44.67445743,5,0.03,0.08,0,189.3,34.6,PPE
gos47,80.89471914,19.10528086,5,31,2.31,0.06,325.4,36.3,PPE
gos48,81.17388363,18.82611637,50,0,0.16,0,196.9,33.4,PPE
gos49,91.06382979,8.936170213,375,0.06,0.08,0.01,187.3,34.2,PPE
gos50,59.16530278,40.83469722,50,28.5,2.11,0.11,343.4,36.3,PPE
gos52,96.41164523,3.588354773,1000,1.39,0.34,0.15,132.8,36.3,PPE
gos54,51.38573376,48.61426624,40,0,0,0.02,190.1,35.1,PPE
gos55,82.08296558,17.91703442,5,0.1,0,0.05,217.1,36.3,PPE
gos56,85.45403587,14.54596413,5,1.08,0.23,0.29,231.7,36.3,PPE
gos57,86.95856874,13.04143126,40,23.43,2.64,0.69,2.4,36.3,PPE
gos58,73.74517375,26.25482625,5,23.43,2.64,0.69,2.4,36.3,PPE
gos59,75.00916086,24.99083914,5,0.03,0.23,0.01,193.4,36.3,PPE
gos60,87.81902552,12.18097448,150,21.11,1.36,0.01,155.2,36.3,PPE
gos61,90.72929543,9.270704574,188,0.05,0.13,0.02,225.5,34.4,PPE
gos62,97.52786221,2.472137791,800,0,0.02,0.01,188.4,39.7,PPE
gos63,81.8321786,18.1678214,120,8.2,0.75,0.31,190.8,36.3,PPE
gos64,96.47239264,3.527607362,640,15.24,1.12,0,193,36.3,PPE
gos65,87.81664656,12.18335344,5,0.15,0,0.09,212.6,36.3,PPE
gos66,78.75157629,21.24842371,5,44.24,3.29,0,8.6,36.3,PPE
gos67,98.06835067,1.931649331,480,0.09,0.14,0,187.4,36,PPE
gos68,84.59563543,15.40436457,5,1.21,0.49,0.35,175.9,36.3,PPE
gos69,68.25995807,31.74004193,5,0.02,0,0,221.5,36.3,PPE
gos70,86.29032258,13.70967742,5,0.05,0.01,0.01,224.3,38.4,PPE
gos71,87.12871287,12.87128713,5,6.2,0.68,0.14,200.2,36.3,PPE
gos72,73.23308271,26.76691729,5,36.73,2.52,0.01,161.7,36.3,PPE
gos73,94.11764706,5.882352941,488,28.64,1.94,0.02,185.2,36.3,PPE
gos75,73.27964861,26.72035139,5,0,0.04,0.02,203.8,36.7,PPE
gos76,91.33192389,8.66807611,50,0.02,0.01,0.02,232.1,36.2,PPE
gos77,94.94556765,5.054432348,350,0.02,0.08,0,207.4,35.3,PPE
gos78,85.48571429,14.51428571,60,38.1,2.8,0,1.3,36.3,PPE
gos79,53.48357404,46.51642596,5,0.02,0,0.01,218.1,39.3,PPE
gos80,84.25,15.75,5,0.9,0.27,0.04,198.6,36.3,PPE
gos81,82.80916844,17.19083156,125,0.04,0.14,0.01,194.4,36.6,PPE
gos82,95.62060359,4.379396415,1000,3.23,0.37,0.26,240.4,36.3,PPE
gos84,53.31369661,46.68630339,5,25.3,1.72,0.27,338.3,36.3,PPE
gos85,91.86733303,8.13266697,100,19.07,1.42,0.14,306.2,36.3,PPE
gos86,68.44155844,31.55844156,5,3.15,0.56,0.06,160.5,36.3,PPE
gos87,80.97807757,19.02192243,5,0,0.04,0.02,203.8,36.7,PPE
gos88,82.79727096,17.20272904,5,0.02,0.01,0.03,237.9,37.9,PPE
gos90,67.79846659,32.20153341,5,1.08,0.23,0.29,231.7,36.3,PPE
gos91,88.72876994,11.27123006,5,22.08,1.53,0,195.2,36.3,PPE
gos93,72.52994012,27.47005988,5,31.46,2.15,0.01,199.2,36.3,PPE
